FID,FID_,ComuneCata,TipoColtur,Variet_,Bodenart__,Humus____,pH_Wert__i,Karbonate_,Kalkbedarf,Phosphat__,Kali__K_O_,Magnesium_,Bor__B__im,Mangan__Mn,Kupfer__Cu,Zink__Zn__,NUM,ID_string,ID_suolo,Num_Soil,Soil_newCl,Schluff,Tonig,Sand,x_Coord,y_Coord
4036,12910,736 - Partschins,01 - Obstbau,23 - Golden Delicious,schwach lehmiger Sand,2.500000000000000,5.600000000000000,0  kein freies Karbonat,0.000000000000000,7.000000000000000,19.000000000000000,14.000000000000000,0.500000000000000,15.000000000000000,8.000000000000000,2.000000000000000,1346/1,24,Sabbioso debolmente franco,24,lehmiger Sand,20.000000000000000,7.000000000000000,73.000000000000000,657997.000000000000000,5171955.000000000000000
4037,12911,736 - Partschins,01 - Obstbau,39 - Red Delicious Stan,humoser lehmiger Sand,4.900000000000000,5.100000000000000,0  kein freies Karbonat,35.000000000000000,30.000000000000000,49.000000000000000,10.000000000000000,0.710000000000000,113.000000000000000,32.000000000000000,22.000000000000000,651,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30.000000000000000,20.000000000000000,50.000000000000000,659523.000000000000000,5172016.000000000000000
4038,12912,736 - Partschins,01 - Obstbau,45 - Verschiedene,humoser lehmiger Sand,5.300000000000000,6.200000000000000,0  kein freies Karbonat,0.000000000000000,12.000000000000000,17.000000000000000,27.000000000000000,0.580000000000000,41.000000000000000,52.000000000000000,130.000000000000000,617/1,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30.000000000000000,20.000000000000000,50.000000000000000,659713.000000000000000,5171969.000000000000000
4039,12913,736 - Partschins,02 - Weinbau, ,humoser lehmiger Sand,4.900000000000000,5.900000000000000,0  kein freies Karbonat,0.000000000000000,29.000000000000000,29.000000000000000,14.000000000000000,0.700000000000000,60.000000000000000,17.000000000000000,22.000000000000000,251,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30.000000000000000,20.000000000000000,50.000000000000000,659099.000000000000000,5171955.000000000000000
4040,12914,736 - Partschins,01 - Obstbau, ,sandiger Schluff,3.900000000000000,6.300000000000000,+  geringer bis mittlerer Karbonatgehalt,0.000000000000000,27.000000000000000,21.000000000000000,23.000000000000000,0.560000000000000,26.000000000000000,10.000000000000000,10.000000000000000,1347/2,20,Limoso sabbioso,20,sandiger Schluff,65.000000000000000,5.000000000000000,30.000000000000000,658145.000000000000000,5171963.000000000000000
4041,12915,736 - Partschins,01 - Obstbau,45 - Verschiedene,humoser lehmiger Sand,5.300000000000000,6.200000000000000,0  kein freies Karbonat,0.000000000000000,12.000000000000000,17.000000000000000,27.000000000000000,0.580000000000000,41.000000000000000,52.000000000000000,130.000000000000000,646,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30.000000000000000,20.000000000000000,50.000000000000000,659650.000000000000000,5171954.000000000000000
4042,12916,736 - Partschins,01 - Obstbau,23 - Golden Delicious,humoser lehmiger Sand,5.300000000000000,6.000000000000000,0  kein freies Karbonat,0.000000000000000,23.000000000000000,26.000000000000000,16.000000000000000,0.700000000000000,31.000000000000000,58.000000000000000,34.000000000000000,647,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30.000000000000000,20.000000000000000,50.000000000000000,659614.000000000000000,5171965.000000000000000
4043,12917,736 - Partschins,01 - Obstbau,19 - Gala,humoser lehmiger Sand,6.000000000000000,6.100000000000000,0  kein freies Karbonat,0.000000000000000,24.000000000000000,59.000000000000000,12.000000000000000,0.840000000000000,61.000000000000000,67.000000000000000,31.000000000000000,196,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30.000000000000000,20.000000000000000,50.000000000000000,659227.000000000000000,5171974.000000000000000
4044,12918,736 - Partschins,01 - Obstbau,03 - Braeburn,humoser lehmiger Sand,5.500000000000000,6.500000000000000,+  geringer bis mittlerer Karbonatgehalt,0.000000000000000,21.000000000000000,20.000000000000000,16.000000000000000,0.600000000000000,26.000000000000000,12.000000000000000,6.000000000000000,648,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30.000000000000000,20.000000000000000,50.000000000000000,659583.000000000000000,5171949.000000000000000
4045,12919,736 - Partschins,01 - Obstbau,23 - Golden Delicious,humoser lehmiger Sand,4.300000000000000,6.300000000000000,+  geringer bis mittlerer Karbonatgehalt,0.000000000000000,21.000000000000000,23.000000000000000,17.000000000000000,0.400000000000000,21.000000000000000,50.000000000000000,19.000000000000000,200,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30.000000000000000,20.000000000000000,50.000000000000000,659329.000000000000000,5171971.000000000000000
4046,12920,736 - Partschins,01 - Obstbau,18 - Fuji,schwach lehmiger Sand,2.500000000000000,5.900000000000000,0  kein freies Karbonat,0.000000000000000,5.000000000000000,8.000000000000000,16.000000000000000,0.310000000000000,13.000000000000000,8.000000000000000,3.000000000000000,298,24,Sabbioso debolmente franco,24,lehmiger Sand,20.000000000000000,7.000000000000000,73.000000000000000,658926.000000000000000,5171884.000000000000000
4047,12921,736 - Partschins,01 - Obstbau,39 - Red Delicious Stan,schwach lehmiger Sand,2.500000000000000,6.600000000000000,+  geringer bis mittlerer Karbonatgehalt,0.000000000000000,14.000000000000000,22.000000000000000,12.000000000000000,0.680000000000000,46.000000000000000,50.000000000000000,12.000000000000000,1591/1,24,Sabbioso debolmente franco,24,lehmiger Sand,20.000000000000000,7.000000000000000,73.000000000000000,657628.000000000000000,5171783.000000000000000
4048,12922,736 - Partschins,01 - Obstbau,23 - Golden Delicious,schwach lehmiger Sand,2.500000000000000,5.600000000000000,0  kein freies Karbonat,0.000000000000000,7.000000000000000,19.000000000000000,14.000000000000000,0.500000000000000,15.000000000000000,8.000000000000000,2.000000000000000,1340/2,24,Sabbioso debolmente franco,24,lehmiger Sand,20.000000000000000,7.000000000000000,73.000000000000000,657946.000000000000000,5171938.000000000000000
