FID,FID_,ComuneCata,TipoColtur,Variet_,Bodenart__,Humus____,pH_Wert__i,Karbonate_,Kalkbedarf,Phosphat__,Kali__K_O_,Magnesium_,Bor__B__im,Mangan__Mn,Kupfer__Cu,Zink__Zn__,NUM,ID_string,ID_suolo,Num_Soil,Soil_newCl,Schluff,Tonig,Sand,x_Coord,y_Coord
4565,8243,683 - Lana,01 - Obstbau,45 - Verschiedene,lehmiger Sand,3.3,6.2,0  kein freies Karbonat,0,12,13,18,0.76,39,28,7,1853/38,17,Sabbioso franco,17,lehmiger Sand,30,20,50,667269,5162912
4566,8244,683 - Lana,01 - Obstbau,10 - Pink Lady,humoser lehmiger Sand,4.2,6.7,+  geringer bis mittlerer Karbonatgehalt,0,30,12,35,1.52,124,56,23,2345,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30,20,50,666005,5162889
4567,8245,683 - Lana,01 - Obstbau,19 - Gala,lehmiger Sand,3.5,7.1,+++  sehr hoher Karbonatgehalt,0,29,17,24,0.63,29,17,19,1848/67,17,Sabbioso franco,17,lehmiger Sand,30,20,50,666799,5162894
4568,8246,683 - Lana,01 - Obstbau,45 - Verschiedene,lehmiger Sand,2.5,6.7,+  geringer bis mittlerer Karbonatgehalt,0,13,5,19,0.41,35,24,11,1874/2,17,Sabbioso franco,17,lehmiger Sand,30,20,50,666899,5162869
4569,8247,683 - Lana,01 - Obstbau,03 - Braeburn,humoser lehmiger Sand,5.7,6.4,+  geringer bis mittlerer Karbonatgehalt,0,22,17,34,1.3,60,53,31,2350/1,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30,20,50,666107,5162886
4570,8248,683 - Lana,01 - Obstbau,45 - Verschiedene,humoser lehmiger Sand,4.9,6.7,++  hoher Karbonatgehalt,0,48,24,22,0.92,30,44,60,1998,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30,20,50,666185,5162900
4571,8249,683 - Lana,01 - Obstbau,19 - Gala,schluffiger Sand,3.1,6.3,+  geringer bis mittlerer Karbonatgehalt,0,20,22,12,0.61,46,55,35,1853/40,23,Sabbioso limoso,23,schluffiger Sand,35,5,60,667280,5162895
4572,8251,683 - Lana,01 - Obstbau,19 - Gala,schluffiger Sand,2.7,6.3,++  hoher Karbonatgehalt,0,37,26,17,0.41,44,59,42,1853/41,23,Sabbioso limoso,23,schluffiger Sand,35,5,60,667283,5162884
4573,8252,683 - Lana,01 - Obstbau,45 - Verschiedene,lehmiger Sand,2.9,6.8,++  hoher Karbonatgehalt,0,30,17,23,0.71,34,16,36,1947/4,17,Sabbioso franco,17,lehmiger Sand,30,20,50,666578,5162883
4574,8253,683 - Lana,01 - Obstbau,26 - Granny Smith,humoser lehmiger Sand,4.1,6.1,0  kein freies Karbonat,0,20,9,17,0.53,55,48,39,1874/1,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30,20,50,666875,5162814
4575,8254,683 - Lana,01 - Obstbau,10 - Pink Lady,humoser lehmiger Sand,4.2,6.7,+  geringer bis mittlerer Karbonatgehalt,0,30,12,35,1.52,124,56,23,2348,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30,20,50,665965,5162890
4576,8255,683 - Lana,01 - Obstbau,19 - Gala,schluffiger Sand,2.7,6.3,++  hoher Karbonatgehalt,0,37,26,17,0.41,44,59,42,1853/42,23,Sabbioso limoso,23,schluffiger Sand,35,5,60,667285,5162874
4577,8256,683 - Lana,01 - Obstbau,09 - Willimams Christbirne,humoser schwach lehmiger Sand,6.5,7,++  hoher Karbonatgehalt,0,51,25,34,0.81,9,350,28,2376,13,mediamente dotato di humus Sabbioso debolmente franco,13,lehmiger Sand,20,7,73,665829,5162846
4578,8257,683 - Lana,01 - Obstbau,26 - Granny Smith,humoser lehmiger Sand,5.3,6.4,+  geringer bis mittlerer Karbonatgehalt,0,23,12,35,1.1,70,80,21,1997,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30,20,50,666202,5162872
4579,8258,683 - Lana,01 - Obstbau,45 - Verschiedene,lehmiger Sand,2.9,6.8,++  hoher Karbonatgehalt,0,30,17,23,0.71,34,16,36,1947/6,17,Sabbioso franco,17,lehmiger Sand,30,20,50,666482,5162874
4580,8259,683 - Lana,01 - Obstbau,19 - Gala,schluffiger Sand,2.7,6.3,++  hoher Karbonatgehalt,0,37,26,17,0.41,44,59,42,1853/43,23,Sabbioso limoso,23,schluffiger Sand,35,5,60,667291,5162865
4581,8260,683 - Lana,01 - Obstbau,19 - Gala,lehmiger Sand,3.5,7.1,+++  sehr hoher Karbonatgehalt,0,29,17,24,0.63,29,17,19,1848/80,17,Sabbioso franco,17,lehmiger Sand,30,20,50,666800,5162863
4582,8261,683 - Lana,01 - Obstbau,26 - Granny Smith,humoser lehmiger Sand,5.3,6.4,+  geringer bis mittlerer Karbonatgehalt,0,23,12,35,1.1,70,80,21,1995,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30,20,50,666267,5162848
4583,8262,683 - Lana,01 - Obstbau,45 - Verschiedene,lehmiger Sand,2.9,6.8,++  hoher Karbonatgehalt,0,30,17,23,0.71,34,16,36,1949/1,17,Sabbioso franco,17,lehmiger Sand,30,20,50,666582,5162865
4584,8263,683 - Lana,01 - Obstbau,19 - Gala,humoser schwach lehmiger Sand,4.4,6.6,+  geringer bis mittlerer Karbonatgehalt,0,22,26,42,1.46,125,60,34,2349,13,mediamente dotato di humus Sabbioso debolmente franco,13,lehmiger Sand,20,7,73,665991,5162844
4585,8264,683 - Lana,01 - Obstbau,23 - Golden Delicious,humoser lehmiger Sand,4.3,6.7,+  geringer bis mittlerer Karbonatgehalt,0,33,16,26,1.18,76,45,28,2356/2,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30,20,50,666153,5162851
